date,available_spots
10/4/2017,151
10/4/2017,152
10/4/2017,152
10/4/2017,149
10/4/2017,138
10/4/2017,105
10/4/2017,87
10/4/2017,78
10/4/2017,76
10/4/2017,73
10/4/2017,68
10/4/2017,71
10/4/2017,83
10/4/2017,21
10/4/2017,18
10/4/2017,16
10/4/2017,16
10/4/2017,18
10/4/2017,21
10/5/2017,28
10/5/2017,36
10/5/2017,38
10/5/2017,43
10/5/2017,45
10/5/2017,45
10/5/2017,43
10/5/2017,31
10/5/2017,27
10/5/2017,21
10/5/2017,15
10/5/2017,8
10/5/2017,3
10/5/2017,-2
10/5/2017,-11
10/5/2017,-20
10/5/2017,-13
10/5/2017,-18
10/5/2017,99
10/5/2017,133
10/5/2017,148
10/5/2017,154
10/5/2017,158
10/5/2017,159
10/6/2017,160
10/6/2017,160
10/6/2017,160
10/6/2017,161
10/6/2017,159
10/6/2017,158
10/6/2017,159
10/6/2017,159
10/6/2017,155
10/6/2017,134
10/6/2017,99
10/6/2017,126
10/6/2017,127
10/6/2017,130
10/6/2017,132
10/6/2017,131
10/6/2017,149
10/6/2017,161
10/6/2017,105
10/6/2017,138
10/6/2017,154
10/6/2017,161
10/6/2017,161
10/6/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,161
10/7/2017,131
10/7/2017,91
10/7/2017,69
10/7/2017,59
10/7/2017,61
10/7/2017,57
10/7/2017,54
10/7/2017,58
10/7/2017,64
10/7/2017,92
10/7/2017,122
10/7/2017,147
10/7/2017,160
10/7/2017,161
10/7/2017,161
10/8/2017,161
10/8/2017,161
10/8/2017,161
10/8/2017,161
10/8/2017,161
10/8/2017,161
10/8/2017,161
10/8/2017,161
10/8/2017,160
10/8/2017,134
10/8/2017,82
10/8/2017,44
10/8/2017,31
10/8/2017,31
10/8/2017,36
10/8/2017,65
10/8/2017,72
10/8/2017,80
10/8/2017,102
10/8/2017,124
10/8/2017,148
10/8/2017,159
10/8/2017,161
10/8/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,136
10/9/2017,90
10/9/2017,63
10/9/2017,47
10/9/2017,44
10/9/2017,45
10/9/2017,45
10/9/2017,49
10/9/2017,58
10/9/2017,154
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/9/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,161
10/10/2017,101
10/10/2017,64
10/10/2017,58
10/10/2017,55
10/10/2017,56
10/10/2017,56
10/10/2017,61
10/10/2017,72
10/10/2017,85
10/10/2017,131
10/10/2017,141
10/10/2017,151
10/10/2017,152
10/10/2017,152
10/11/2017,153
10/11/2017,154
10/11/2017,154
10/11/2017,154
10/11/2017,153
10/11/2017,151
10/11/2017,151
10/11/2017,150
10/11/2017,143
10/11/2017,121
10/11/2017,71
10/11/2017,41
10/11/2017,38
10/11/2017,43
10/11/2017,39
10/11/2017,42
10/11/2017,46
10/11/2017,56
10/11/2017,113
10/11/2017,141
10/11/2017,155
10/11/2017,161
10/11/2017,161
10/11/2017,161
10/12/2017,161
10/12/2017,161
10/12/2017,161
10/12/2017,161
10/12/2017,161
10/12/2017,161
10/12/2017,161
10/12/2017,161
10/12/2017,156
10/12/2017,135
10/12/2017,96
10/12/2017,72
10/12/2017,63
10/12/2017,66
10/12/2017,61
10/12/2017,58
10/12/2017,58
10/12/2017,73
10/12/2017,110
10/12/2017,120
10/12/2017,111
10/12/2017,98
10/12/2017,99
10/12/2017,115
10/13/2017,134
10/13/2017,143
10/13/2017,148
10/13/2017,150
10/13/2017,156
10/13/2017,157
10/13/2017,149
10/13/2017,142
10/13/2017,133
10/13/2017,130
10/13/2017,122
10/13/2017,98
10/13/2017,79
10/13/2017,67
10/13/2017,101
10/13/2017,111
10/13/2017,117
10/13/2017,116
10/13/2017,124
10/13/2017,130
10/13/2017,133
10/13/2017,135
10/13/2017,142
10/13/2017,149
10/14/2017,157
10/14/2017,161
10/14/2017,161
10/14/2017,161
10/14/2017,161
10/14/2017,161
10/14/2017,161
10/14/2017,154
10/14/2017,152
10/14/2017,146
10/14/2017,141
10/14/2017,131
10/14/2017,121
10/14/2017,118
10/14/2017,109
10/14/2017,106
10/14/2017,112
10/14/2017,112
10/14/2017,157
10/14/2017,161
10/14/2017,161
10/14/2017,161
10/14/2017,161
10/14/2017,161
10/15/2017,161
10/15/2017,161
10/15/2017,161
10/15/2017,161
10/15/2017,110
10/15/2017,116
10/15/2017,118
10/15/2017,121
10/15/2017,124
10/15/2017,125
10/15/2017,131
10/15/2017,140
10/15/2017,144
10/15/2017,147
10/15/2017,149
10/15/2017,149
10/15/2017,144
10/15/2017,140
10/15/2017,138
10/15/2017,134
10/15/2017,129
10/15/2017,121
10/15/2017,121
10/15/2017,117
10/16/2017,114
10/16/2017,99
10/16/2017,95
10/16/2017,94
10/16/2017,119
10/16/2017,148
10/16/2017,152
10/16/2017,153
10/16/2017,158
10/16/2017,159
10/16/2017,160
10/16/2017,161
10/16/2017,159
10/16/2017,159
10/16/2017,159
10/16/2017,159
10/16/2017,159
10/16/2017,159
10/16/2017,157
10/16/2017,140
10/16/2017,122
10/16/2017,106
10/16/2017,98
10/16/2017,111
10/17/2017,124
10/17/2017,134
10/17/2017,141
10/17/2017,146
10/17/2017,98
10/17/2017,132
10/17/2017,144
